Customer_ID,Name,Age,Gender,City,Signup_Date
CUST0001,Customer 1,58,Male,Delhi,2024-10-08
CUST0002,Customer 2,33,Male,Bengaluru,2024-04-14
CUST0003,Customer 3,52,Male,Lucknow,2025-03-08
CUST0004,Customer 4,20,Male,Mumbai,2024-08-11
CUST0005,Customer 5,32,Male,Kolkata,2024-07-22
CUST0006,Customer 6,59,Female,Hyderabad,2025-04-04
CUST0007,Customer 7,55,Female,Delhi,2024-06-12
CUST0008,Customer 8,45,Female,Chennai,2024-06-08
CUST0009,Customer 9,31,Female,Mumbai,2024-04-04
CUST0010,Customer 10,42,Male,Pune,2024-12-18
CUST0011,Customer 11,56,Female,Delhi,2025-04-15
CUST0012,Customer 12,52,Male,Jaipur,2024-03-21
CUST0013,Customer 13,53,Female,Lucknow,2025-01-05
CUST0014,Customer 14,54,Male,Mumbai,2024-02-16
CUST0015,Customer 15,60,Male,Chennai,2024-03-22
CUST0016,Customer 16,32,Male,Jaipur,2024-10-11
CUST0017,Customer 17,47,Female,Bengaluru,2025-01-14
CUST0018,Customer 18,40,Male,Chennai,2024-03-14
CUST0019,Customer 19,56,Male,Kolkata,2024-09-07
CUST0020,Customer 20,28,Female,Jaipur,2024-10-03
CUST0021,Customer 21,58,Male,Pune,2024-02-27
CUST0022,Customer 22,32,Male,Pune,2025-02-14
CUST0023,Customer 23,35,Male,Hyderabad,2025-08-03
CUST0024,Customer 24,38,Male,Ahmedabad,2025-02-09
CUST0025,Customer 25,59,Female,Bengaluru,2024-09-28
CUST0026,Customer 26,26,Male,Kolkata,2025-07-05
CUST0027,Customer 27,34,Female,Lucknow,2025-02-12
CUST0028,Customer 28,41,Male,Bengaluru,2025-06-05
CUST0029,Customer 29,49,Male,Delhi,2024-04-22
CUST0030,Customer 30,27,Male,Jaipur,2024-03-06
CUST0031,Customer 31,42,Female,Lucknow,2025-04-24
CUST0032,Customer 32,51,Female,Kolkata,2024-01-12
CUST0033,Customer 33,25,Female,Pune,2024-04-24
CUST0034,Customer 34,36,Female,Bengaluru,2025-04-09
CUST0035,Customer 35,18,Female,Kolkata,2024-07-01
CUST0036,Customer 36,50,Male,Chennai,2025-06-03
CUST0037,Customer 37,56,Male,Bengaluru,2025-01-17
CUST0038,Customer 38,28,Male,Lucknow,2024-11-27
CUST0039,Customer 39,49,Male,Mumbai,2025-01-06
CUST0040,Customer 40,37,Male,Delhi,2024-09-03
CUST0041,Customer 41,54,Male,Mumbai,2025-05-12
CUST0042,Customer 42,22,Male,Bengaluru,2025-05-01
CUST0043,Customer 43,53,Male,Chennai,2025-06-24
CUST0044,Customer 44,56,Female,Hyderabad,2025-07-06
CUST0045,Customer 45,30,Female,Jaipur,2025-01-17
CUST0046,Customer 46,46,Female,Mumbai,2024-09-10
CUST0047,Customer 47,32,Male,Pune,2024-01-22
CUST0048,Customer 48,55,Male,Lucknow,2024-08-13
CUST0049,Customer 49,18,Male,Delhi,2024-08-22
CUST0050,Customer 50,22,Male,Pune,2024-03-13
CUST0051,Customer 51,50,Male,Chennai,2025-05-12
CUST0052,Customer 52,31,Male,Lucknow,2025-08-13
CUST0053,Customer 53,48,Male,Ahmedabad,2025-02-20
CUST0054,Customer 54,30,Male,Mumbai,2025-03-17
CUST0055,Customer 55,40,Female,Jaipur,2025-04-23
CUST0056,Customer 56,21,Male,Delhi,2025-02-16
CUST0057,Customer 57,39,Male,Hyderabad,2024-07-15
CUST0058,Customer 58,30,Female,Bengaluru,2025-03-08
CUST0059,Customer 59,29,Female,Ahmedabad,2024-09-12
CUST0060,Customer 60,22,Female,Kolkata,2024-04-10
CUST0061,Customer 61,21,Male,Mumbai,2024-08-30
CUST0062,Customer 62,28,Female,Ahmedabad,2025-05-07
CUST0063,Customer 63,31,Female,Delhi,2024-06-17
CUST0064,Customer 64,42,Male,Jaipur,2024-09-28
CUST0065,Customer 65,47,Female,Jaipur,2025-07-23
CUST0066,Customer 66,60,Female,Bengaluru,2024-07-13
CUST0067,Customer 67,36,Male,Delhi,2025-08-16
CUST0068,Customer 68,52,Male,Pune,2024-02-28
CUST0069,Customer 69,21,Female,Kolkata,2025-06-27
CUST0070,Customer 70,28,Male,Kolkata,2024-03-23
CUST0071,Customer 71,29,Male,Lucknow,2024-03-10
CUST0072,Customer 72,33,Female,Mumbai,2025-08-06
CUST0073,Customer 73,33,Male,Lucknow,2024-03-24
CUST0074,Customer 74,44,Female,Chennai,2024-07-28
