Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Price,Discount
ORD00001,2025-05-07,CUST0034,PROD0002,3,9364,20
ORD00002,2025-05-03,CUST0081,PROD0019,3,3133,15
ORD00003,2025-05-27,CUST0092,PROD0025,2,726,10
ORD00004,2025-10-04,CUST0041,PROD0011,1,1271,5
ORD00005,2025-07-16,CUST0030,PROD0015,2,17205,25
ORD00006,2025-08-01,CUST0009,PROD0015,4,17205,10
ORD00007,2025-08-01,CUST0060,PROD0048,1,2000,5
ORD00008,2025-10-27,CUST0050,PROD0001,1,2171,20
ORD00009,2025-01-04,CUST0062,PROD0016,3,1320,10
ORD00010,2025-08-03,CUST0050,PROD0039,5,1124,25
ORD00011,2025-11-05,CUST0070,PROD0035,2,16002,15
ORD00012,2025-08-12,CUST0035,PROD0020,4,1362,0
ORD00013,2025-12-09,CUST0044,PROD0031,4,3859,25
ORD00014,2025-03-07,CUST0060,PROD0045,5,1693,20
ORD00015,2025-10-31,CUST0051,PROD0015,5,17205,25
ORD00016,2025-11-26,CUST0011,PROD0049,4,1159,5
ORD00017,2025-01-26,CUST0024,PROD0043,3,1169,15
ORD00018,2025-08-21,CUST0028,PROD0014,3,3243,10
ORD00019,2025-05-23,CUST0049,PROD0019,4,3133,10
ORD00020,2025-01-10,CUST0061,PROD0050,5,661,0
ORD00021,2025-11-29,CUST0029,PROD0028,1,1841,25
ORD00022,2025-01-16,CUST0097,PROD0005,2,2921,5
ORD00023,2025-03-20,CUST0080,PROD0035,2,16002,5
ORD00024,2025-02-28,CUST0086,PROD0043,5,1169,5
ORD00025,2025-05-12,CUST0090,PROD0016,3,1320,5
ORD00026,2025-02-28,CUST0078,PROD0013,2,5028,10
ORD00027,2025-01-14,CUST0075,PROD0007,3,1180,20
ORD00028,2025-07-23,CUST0049,PROD0039,2,1124,0
ORD00029,2025-11-18,CUST0089,PROD0038,2,5072,0
ORD00030,2025-06-04,CUST0099,PROD0043,5,1169,0
ORD00031,2025-06-27,CUST0006,PROD0008,5,16069,15
ORD00032,2025-02-05,CUST0048,PROD0008,5,16069,25
ORD00033,2025-08-04,CUST0002,PROD0010,4,54774,0
ORD00034,2025-11-22,CUST0047,PROD0025,4,726,25
ORD00035,2025-04-01,CUST0056,PROD0027,5,1426,25
ORD00036,2025-10-03,CUST0079,PROD0015,4,17205,15
ORD00037,2025-10-31,CUST0094,PROD0002,3,9364,10
ORD00038,2025-05-23,CUST0012,PROD0048,4,2000,5
ORD00039,2025-10-19,CUST0060,PROD0007,5,1180,25
ORD00040,2025-01-15,CUST0044,PROD0002,4,9364,10
ORD00041,2025-04-19,CUST0063,PROD0027,3,1426,10
ORD00042,2025-11-02,CUST0036,PROD0024,3,5163,20
ORD00043,2025-04-08,CUST0067,PROD0010,1,54774,5
ORD00044,2025-09-08,CUST0053,PROD0014,5,3243,5
ORD00045,2025-11-27,CUST0061,PROD0027,4,1426,15
ORD00046,2025-05-31,CUST0012,PROD0027,2,1426,15
ORD00047,2025-06-06,CUST0032,PROD0010,5,54774,10
ORD00048,2025-09-29,CUST0071,PROD0017,3,1988,15
ORD00049,2025-06-19,CUST0071,PROD0014,3,3243,25
ORD00050,2025-06-06,CUST0035,PROD0026,3,2930,5
ORD00051,2025-04-09,CUST0093,PROD0049,3,1159,0
ORD00052,2025-12-20,CUST0069,PROD0046,2,862,5
ORD00053,2025-09-05,CUST0095,PROD0046,3,862,25
ORD00054,2025-09-26,CUST0098,PROD0038,5,5072,10
ORD00055,2025-06-01,CUST0025,PROD0021,2,2760,10
ORD00056,2025-01-08,CUST0039,PROD0023,5,6771,5
ORD00057,2025-01-28,CUST0006,PROD0034,5,1850,10
ORD00058,2025-11-23,CUST0017,PROD0008,4,16069,0
ORD00059,2025-05-26,CUST0074,PROD0029,4,1342,15
ORD00060,2025-04-05,CUST0044,PROD0015,1,17205,10
ORD00061,2025-02-03,CUST0015,PROD0040,4,36746,15
ORD00062,2025-11-19,CUST0074,PROD0015,1,17205,5
ORD00063,2025-06-05,CUST0073,PROD0050,1,661,5
ORD00064,2025-08-02,CUST0072,PROD0046,5,862,20
ORD00065,2025-09-25,CUST0029,PROD0026,4,2930,15
ORD00066,2025-10-29,CUST0039,PROD0019,4,3133,10
ORD00067,2025-01-31,CUST0080,PROD0049,5,1159,25
ORD00068,2025-04-17,CUST0098,PROD0037,2,1794,10
ORD00069,2025-03-22,CUST0011,PROD0009,2,565,5
ORD00070,2025-03-22,CUST0010,PROD0011,1,1271,15
ORD00071,2025-11-01,CUST0089,PROD0045,4,1693,10
ORD00072,2025-05-28,CUST0030,PROD0041,3,1130,25
ORD00073,2025-12-18,CUST0010,PROD0009,2,565,10
ORD00074,2025-12-05,CUST0076,PROD0025,2,726,15
ORD00075,2025-04-26,CUST0070,PROD0011,2,1271,10
ORD00076,2025-01-31,CUST0010,PROD0050,2,661,10
ORD00077,2025-10-19,CUST0096,PROD0027,3,1426,15
ORD00078,2025-12-19,CUST0060,PROD0032,3,2541,25
ORD00079,2025-09-14,CUST0035,PROD0001,5,2171,15
ORD00080,2025-11-03,CUST0011,PROD0005,1,2921,15
ORD00081,2025-11-06,CUST0042,PROD0003,3,2375,0
ORD00082,2025-12-12,CUST0030,PROD0026,5,2930,20
ORD00083,2025-12-11,CUST0098,PROD0038,3,5072,20
ORD00084,2025-03-31,CUST0098,PROD0036,4,1049,20
ORD00085,2025-05-23,CUST0057,PROD0033,2,2017,20
ORD00086,2025-09-09,CUST0082,PROD0027,1,1426,15
